Вопрос;сложность;1 вариант ответа;2 вариант ответа;3 вариант ответа;4 вариант ответа;правильный вариант ответа
Какой философ стал основоположником трансцендентальной философии?;Эксперт;Иммануил Кант;Фридрих Ницше;Джон Роулс;Рене Декарт;Иммануил Кант
Какая страна первым признала независимость США?;Эксперт;Франция;Испания;Нидерланды;Мексика;Франция
Какой мирный договор завершил Русско-японскую войну 1905 года?;Эксперт;Портсмутский мир;Тихоокеанский мир;Петербургский мир;Токийский мир;Портсмутский мир
Кто был первым императором Японии?;Эксперт;Джимму;Нара;Токугава Иэясу;Мэйдзи;Джимму
Когда началась Римская Республика?;Эксперт;509 год до н. э.;100 год до н. э.;300 год до н. э.;753 год до н. э.;509 год до н. э.
Какой знаменитый акт завершил процесс отмены рабства в США?;Эксперт;Эмансипация;Билль о правах;Декларация независимости;Договор о мире;Эмансипация
Какой военный союз был создан в 1949 году для противостояния СССР?;Эксперт;НАТО;ОНО;СЭВ;САНТО;НАТО
Когда произошла Октябрьская революция в России?;Эксперт;1917;1905;1898;1914;1917
Какой известный философ является основателем теории утилитаризма?;Эксперт;Джереми Бентам;Джон Стюарт Милль;Карл Маркс;Фридрих Ницше;Джереми Бентам
"Какое событие произошло в 1066 году в Англии?";"Новичок";"Битва при Гастингсе";"Подписание Магны Карты";"Славная революция";"Падение Тюдоров";"Битва при Гастингсе"
"Кто был основателем Монгольской империи?";Любитель;"Чингисхан";"Кублай-хан";"Тимур";"Хубилай-хан";"Чингисхан"
"Какое государство стало первой демократией в мире?";Любитель;"Древняя Греция";"Римская империя";"Атлантида";"Месопотамия";"Древняя Греция"
"Что такое Ренессанс и когда он начался?";Эксперт;"Период культурного возрождения в Европе, начался в XIV веке";"Эпоха Просвещения, XVIII век";"Промышленная революция, XIX век";"Средневековье, V-XV века";"Период культурного возрождения в Европе, начался в XIV веке"
"Какая империя существовала на территории современного Ирана до прихода арабов?";"Эксперт;"Сасанидская империя";"Османская империя";"Парфянская империя";"Ахеменидская империя";"Сасанидская империя"
"Кто был главой СССР во время Cuban Missile Crisis?";Эксперт;"Никита Хрущев";"Леонид Брежнев";"Михаил Горбачев";"Станислав Черненко";"Никита Хрущев"
"Какой документ стал основой для прав человека в 1789 году во Франции?";"Эксперт;"Декларация прав человека и гражданина";"Конституция Франции";"Манифест коммунистической партии";"Заявление независимости США";"Декларация прав человека и гражданина"
"Какое событие стало причиной падения Берлинской стены?";Эксперт;"Конец холодной войны и стремление Восточной Германии к свободе";"Вторжение в Чехословакию";"Объединение Германии в 1990 году";"Создание НАТО";"Конец холодной войны и стремление Восточной Германии к свободе"
"Кто открыл Америку в 1492 году?";"Новичок";"Христофор Колумб";"Фернан Магеллан";"Васко да Гама";"Марко Поло";"Христофор Колумб"
"Какое государство было известно как Древний Египет?";"Новичок";"Египет";"Месопотамия";"Греция";"Римская империя";"Египет"
"Кто был известным фараоном Египта, построившим пирамиды?";"Новичок";"Хеопс";"Рамзес II";"Тутанхамон";"Клеопатра";"Хеопс"
"Какой документ провозгласил независимость США в 1776 году?";"Новичок";"Декларация независимости";"Конституция США";"Билль о правах";"Манифест судьбы";"Декларация независимости"
"Какое событие произошло в 1914 году, ставшее началом Первой мировой войны?";"Новичок";"Убийство Франца Фердинанда";"Подписание Версальского договора";"Битва при Сомме";"Революция в России";"Убийство Франца Фердинанда"
"Кто был лидером нацистской Германии во время Второй мировой войны?";"Новичок";"Адольф Гитлер";"Бенито Муссолини";"Иосиф Сталин";"Уинстон Черчилль";"Адольф Гитлер"
"Какой город был столицей Римской империи?";"Новичок";"Рим";"Афины";"Константинополь";"Карфаген";"Рим"
"Кто написал "Илиаду"?";"Новичок";"Гомер";"Вергилий";"Софокл";"Гесиод";"Гомер"
"Кто был известным вождем монголов, объединившим племена?";"Новичок";"Чингисхан";"Тимур";"Кублай-хан";"Батый";"Чингисхан"
"Какой город был столицей Османской империи?";"Новичок";"Стамбул";"Анкара";"Багдад";"Каир";"Стамбул"
"Кто был известным английским королем, который подписал Магнума картa?";"Эксперт";"Иоанн Безземельный";"Ричард Львиное Сердце";"Генрих VIII";"Эдуард I";"Иоанн Безземельный"
"Какой период в истории Европы называется Средневековьем?";"Новичок";"500-1500 годы н.э.";"300-800 годы н.э.";"1500-1800 годы н.э.";"1000-1300 годы н.э.";"500-1500 годы н.э."
"Какой известный мореплаватель первым обошел вокруг света?";"Новичок";"Фернан Магеллан";"Кристофор Колумб";"Васко да Гама";"Джеймс Кук";"Фернан Магеллан"
"Кто был основателем Древнего Рима согласно легенде?";"Новичок";"Ромул и Рем";"Цезарь";"Август";"Нерон";"Ромул и Рем"
"Какое событие произошло в 1066 году в Англии?";"Новичок";"Нормандское завоевание";"Битва при Гастингсе";"Подписание Магна Карты";"Революция 1688 года";"Нормандское завоевание"
"Какой стиль архитектуры стал популярным в Европе в эпоху Возрождения?";"Новичок";"Ренессансный стиль";"Готический стиль";"Барокко";"Классицизм";"Ренессансный стиль"
